header	text	verdict	link
Рекомендую	"Меня зовут Анна . Я решила пройти курс ""Методист онлайн-курсов на скилбокс. Нужен был он мне для повышения в должности, или смены работы. И очень даже не пожалела. Что понравилось: разная подача материала, был и текстовый, и видео формат , и ссылки на доп. источники, для меня куратор также сняла парочку суринкастов. Время которое можно тратить на обучение выбираешь сама, по пройденному опыту могу сказать что нужно составить себе план и не соскакивать с него , иначе все превратится в тягомотину. Общение с куратором. Куратор после проверки дз всегда находила и плюсы и минусы над чем нужно поработать. Отвкт был быстрый, на следующий день. Есть чат в телеграмм, но я им не часто пользовалась, но все же это возможность понять какие есть трудности у людей и как они справляются. Также можно было оплатить по рассрочке. На данный момент я пишу заключительную работу и буду пробовать работать, что получится пока не известно, но я точно не сожалею о покупке курса."	1	https://irecommend.ru/content/rekomenduyu-4757
Отлично!	Я решила поменять свою профессию, пока нахожусь в декретном отпуске. Всегда нравился дизайн, поэтому выбрала курс, а точнее профессию Веб-дизайнер 3.0. В данной сфере я новичок. Сейчас еще пока прохожу обучение. Сама профессия разделена на несколько курсов, основные и дополнительные, некоторые я уже прошла. Все хорошо структурированно и последовательно, много полезной и нужной информации. Кураторы грамотно все проверяют и объясняют, а так же дают дополнительную информацию в виде ссылок где что найти - полезные ресурсы и почитать дополнительный материал. Самое интересное это то, что есть такая практика - кейсы от реальных заказчиков! Пока меня все в обучении устраивает и надеюсь, что после завершения найдется хорошая работа.	1	https://irecommend.ru/content/otlichno-6647
Платформа №1 для обучения!!!	Хотела бы поделиться своим опытом обучения в Скиллбоксе. Очень нравятся кураторы и поддержка, так как задаю всегда много вопросов, для меня это архиважно. Бывало тяжело, когда после первых трех месяцев обучения и подъема, наступил спад, казалось, что не справлюсь. Но, заставила себя прослушать всего один блок, сдала работу и все вернулось в норму. То есть, самое главное, не опускать руки, а если опустились, заставить себя просмотреть всего несколько занятий. Обучаюсь уже более года, еще не сдав дипломную работу уже сменила профессию!!! И взяла еще дополнительные курсы. Короче, безумно рада, что открыла для себя эту платформу, надеюсь, что не остановлюсь на достигнутом. Скиллбоксу огромное спасибо!	1	https://irecommend.ru/content/platforma-1-dlya-obucheniya
Skillbox дал толчок к новым практическим знаниям и уверенности в себе как в специалисте.	"Добрый день. В skillbox пошла за новыми знаниями, чтобы повысить свою квалификацию и больше разобраться в теме финансов. Выбрала курс ""Финансовый менеджмент"". Первое удивление, что к этому курсу были приложены дополнительно бесплатные курсы, которые помогают в процессе обучения, а также эти знания я использовала в своей работе. Мой руководитель, сразу заметила в моей работе изменения в лучшую сторону. Сейчас я нахожусь на завершающем этапе. Сдача итогового проекта. Конечно есть и свои минусы, с одним куратором произошли недопонимания на начальном этапе, но мне потом сразу сменили куратора и учеба пошла легче. Да и есть технические неполадки, иногда видео зависает. я считаю, везде есть свои плюсы и минусы. И онлайн обучение-это отличная идея. И кстати, Skillbox одна из первых онлайн школ."	1	https://irecommend.ru/content/skillbox-dal-tolchok-k-novym-prakticheskim-znaniyam-i-uverennosti-v-sebe-kak-v-spetsialiste
"Курс ""Искусство коммуникации"" дает базовые знания в данной области."	"В целом неплохой курс, который упорядочивает знания в области ведения переговоров. Хотелось бы больше практических заданий на разбор стрессовых, критических ситуаций в переговорах. Теоретически хорошо описана база. Курс подходит для новичков, для людей не имеющих большого опыта в ведении переговоров на разном уровне. Скорее бы всего, вместо раздела ""межкультурная коммуникация"", который, на мой взгляд, неинформативный, добавила бы раздел с практическими упражнениями и разбором критических ситуаций или про то, как выходить из конфликтных ситуаций с результатом win-win."	0	https://irecommend.ru/content/kurs-iskusstvo-kommunikatsii-daet-bazovye-znaniya-v-dannoi-oblasti
Очень приятная реферальная программа от образовательной платформы Skillbox	"Здравствуйте! Редко пишу отзывы, но в этот раз захотелось поделиться. В последнее время всё чаще стала задумываться о смене профессии. Внимание привлекла сфера IT-технологий. Но в связи с тем, что в данный момент я работаю - обучение оффлайн мне не подходило. Поэтому решила поискать онлайн-курсы. Образовательная платформа Skillbox привлекла новогодними акциями, наличием необходимых курсов и реферальной программой ""Приведи друга"". Курс оформила в рассрочку у Сбербанка без каких-либо проблем. Уже успела пройти два модуля и сдать практические работы. Формат обучения привлекает тем, что лекции в записи и не привязаны ко времени, нет строгих рамок прохождения модулей. То есть если у меня сейчас есть свободное время, то я могу хоть целый день сидеть и учиться, а если появляются какие-то срочные дела, то могу немного отложить обучение. Очень отзывчивая служба поддержки и информативные чаты в телеграмм-канале курса. Но вернемся к реферальной программе ""Приведи друга"". Во время поиска образовательной платформы я узнала, что знакомая тоже интересуется онлайн-обучением. Поэтому, как только я оформила обучение, то прислала ей ссылку для регистрации. По этой ссылке она оформила обучение и теперь мне доступен для вывода кэшбек! Вообще, в программе два варианта вознаграждения: кэшбек 18% (на данный момент) от суммы покупки друга или курс в подарок (не дороже чем, курс, который купил ваш друг). Skillbox является лидером по качеству обучения среди образовательных платформ. Большой плюс в том, что доступна рассрочка. Кроме того, есть программа трудоустройства, если приобретаешь профессию, а не отдельный курс. А главное, для иузчения доступен большое количество курсов по абсолютно разным направлениям! Если Вы задумываетесь о получении новой профессии или хотите прокачать уже имеющиеся навыки, то обязательно обратите своё внимание на образовательную платформу Skillbox! Прикрепляю реферальную ссылку! Надеюсь, что кому-то она пригодится!"	1	https://irecommend.ru/content/ochen-priyatnaya-referalnaya-programma-ot-obrazovatelnoi-platformy-skillbox
Веб-разработчик		1	https://irecommend.ru/content/veb-razrabotchik
SEO		1	https://irecommend.ru/content/seo
Я рекомендую Skillbox всем, кто хочет начать свою карьеру в программировании или расширить свои знания в этой области.	Я очень довольна своим опытом обучения в школе программирования Skillbox. У них отличный подход к обучению и обширная программа курсов, которая охватывает широкий спектр тем. Преподаватели профессионалы в своей области и отлично объясняют сложные концепции простым и понятным языком. Одна из ключевых особенностей Skillbox - это их практический подход к обучению. Курсы предлагают множество практических заданий и проектов, которые позволяют мне применить полученные знания на практике. Это дает мне возможность развивать свои навыки и набираться опыта. Также я оцениваю гибкость, которую предлагает Skillbox. Они предлагают различные форматы обучения, включая онлайн-курсы и вебинары, что делает процесс обучения удобным и доступным для меня. В целом, мой опыт с Skillbox очень положительный. Я получила ценные знания и навыки, которые могу применить на практике. Я рекомендую Skillbox всем, кто хочет начать свою карьеру в программировании или расширить свои знания в этой области.	1	https://irecommend.ru/content/ya-rekomenduyu-skillbox-vsem-kto-khochet-nachat-svoyu-kareru-v-programmirovanii-ili-rasshiri
Web Design с 0 до PRO		1	https://irecommend.ru/content/web-design-s-0-do-pro-0
обучение в skillbox	Я часто покупаю онлайн курсы на известных платформах, в том числе и skillbox. Примерно с 2019 года. Среди приобретенных курсов в работе очень пригодился «SMM-маркетолог от А до Я». Я смогла разработать несколько SMM стратегий, что очень понравилось заказчикам. Они заплатили мне и стали моими постоянными клиентами. Мне нравится, что на платформе короткие уроки и иногда есть конспекты. При желании можно защитить реальный проект. И еще самое главное для меня качественная обратная связь со стороны кураторов. С ними кстати можно связываться несколькими способами: как на самой платформе, так и в телеграм чате. Мне всегда отвечают, нет отношения лишь бы отвязаться. Все сданные на проверку работы внимательно читали и при необходимости отправляли на доработку. Есть вовлеченность и сопереживание со стороны кураторов, что конечно очень приятно. Вопросы я задаю даже сейчас, после завершения курса, и мне до сих пор отвечают, и студенты курса тоже оказывают поддержку. Да, также хочу отметить клиентоориентированность. У меня была такая ситуация нехорошая, после приобретения одного из курсов я передумала через месяц, и мне очень вежливо и быстро поменяли на какой я хотела. А другой курс, я вообще не прошла. Только половину уроков. Так он и завис у меня на пару лет непройденным. Но пришло уведомление о его обновлении, и не смотря на то что купила свой курс в 2019 году, мне его тоже обновили, у меня есть возможность пройти его и получить сертификат) Это уже благодаря техподдержке и службе заботы о клиентах.	1	https://irecommend.ru/content/obuchenie-v-skillbox
Постоянное саморазвитие как смысл жизни.Я являюсь	Я являюсь студентом Scillbox уже второй год. За это время я ниразу не пожалел, что начал учиться на этой платформе. В качестве направления я выбрал профессию python разработчика. Самое удобное это систематизация построения убучения, постоянное развитие и обновление курсов, что ведет к более лучшему пониманию, и наконец общение с куратором. Все кураторы, с которыми я сталкивался - это граммотные специалисты, которые всегда помогут, поделятся советом и направят мысли в нужное русло. За это время, пока я учусь я уже многим посоветовал обучение Scillbox. А так же моя жена стала дипломированным специалистом по django и python. Планирую дальнейшую учебу. Все советую scillbox!	1	https://irecommend.ru/content/postoyannoe-samorazvitie-kak-smysl-zhizniya-yavlyayus
Тестировщик	Запросил я значит демо-доступ на курс “Тестировщика ПО” с мыслью, что это прикольная прикладная специальность. Решил просто посмотреть на курс Скиллбокс, чтобы понять, о чем все говорят. Ага, и залип на неделю… так, что аж купил этот курс, ведь понял, что - может смогу попасть в IT. Каждый новый урок курса - это настоящее испытание. Задачка так задачка! Но успешно сданная домашняя вселяла уверенность, что я что-то да соображаю, появилась уверенность. В итоге ты закрепляешь все полученные знания - и снова учишь большой пласт теории. Здорово, что здесь реальные задачи, которые потом ждут тебя на работе - я спросил у знакомого тестировщика, он полистал и сказал, что это действительно так. Еще радует, что у преподавателей четкая дикция и грамотная речь, что в сочетании с коротким хронометражем видео дает приятный эффект. Переслушивать и возвращаться к прошлым темам по необходимости не надоедает.	1	https://irecommend.ru/content/testirovshchik
отлично	SkillBox приятно удивил. Я обучалась по направлению Методист образовательных программ. Будучи преподавателем в университет, я знакома с методической работой, но курс мне показал намного больше, а точнее как быть методист в коммерческой среде. Огромное количество полезных ресурсов и что самое ценное - это практико-ориентированное обучение, то есть я полностью прошла на практике цепочку построения образовательной программы (ни как это делаю в ВУЗах, а именно в коммерции). Также приятным бонусом стал Центр карьеры (у меня курс был без трудоустройства), благодаря которому я вышла на несколько фирм и заключила с ними договоры на предоставление услуг.	1	https://irecommend.ru/content/otlichno-6885
Началось общение с обмана со стороны Skillbox.	Искал бесплатное обучение на python онлайн. Перешёл по рекламной ссылки контекстной рекламы. Реклама предлагала обучение 6 месяцев бесплатно. Никаких больше пояснений, только мест мало, нужно оставить данные. Оставил. Перезвонили договориться на собеседование по поводу моего платного обучения. Короче. Не бесплатно, а отсрочка. Это абсолютно разные вещи. И это обман. На этом всё общение закончилось. Пытались что-то умничать, но когда задаёте вопрос в лоб, я не буду платить за обучение? Вам говорят я снимаю заявку, до свидания.	0	https://irecommend.ru/content/nachalos-obshchenie-s-obmana-so-storony-skillbox
Приличный курс	Я приобрёл курс экономист-финансистс целью восстановить навыки, т. К после получения диплома ни дня не работал по профессии. И как человек так сказать имеющий представление, могу сказать что я многое вспоминаю, курс более чем информативный. Авторитетный в своём роде лекторы. Куратор курса всегда на связи. Быстро проверяет практические работы, укажите на ошибки и подскажет если что-то не понимаете. Гибкий подход к оплате, рассрочка, отсрочка всё официально. Для людей которые прям с нуля, возможно в начале будет трудно. Широкая реферальная программа, очень много бонусов. Лично мне подарили второй курс в подарок, только практику не проверяют, единственное отличие, а так все также если бы купил. Постоянные промо акции, пробные курсы и т. Д. Мне очень понравилась эта образовательная платформа.	1	https://irecommend.ru/content/prilichnyi-kurs
Удобно, надежно, честно.	Занимался на курсе Frontend разработчик. Через пару месяцев понял, что это не мое, попросил перевести на другой курс Думал скажут что-то в роде «время для перехода истекло» «мы не сможем вас перевести», но нет, перевели очень быстро и теперь изучаю новое направление. Само обучение очень удобное и понятное. Вообщем 10/10	1	https://irecommend.ru/content/udobno-nadezhno-chestno
"Курс ""Дизайн логотипов"" в Skillbox - это крутой способ научиться создавать крутые логотипы!"		1	https://irecommend.ru/content/kurs-dizain-logotipov-v-skillbox-eto-krutoi-sposob-nauchitsya-sozdavat-krutye-logotipy
Из пешки в дамки	Я устала быть пешкой в чужих играх, карьерах и жизнях — решила, что теперь настало мое время направить свои таланты в продюсирование крутых продуктов, набирать команду, руководить запусками курсов и съемками. Но конечно я ошибалась, думала, что работать станет легче. Знания тогда у меня были поверхностны. И забавно, что в этой погоней за легкостью я нашла другую сторону профессии — продюсирование так меня увлекло, что я готова пахать как не в себя, решать все возможные проблемы, чтобы добиться результата для команды. А теперь об учебе. Поступая на курс, я не рассчитывала на такой обьем заданий и видеолекций, но самое что удивило — это активности внутри курса. Куратор предложил организоваться в группы и разработать курс в команде под его наставничеством. Это был очень мощный проект, благодаря которому все наши студенты поняли, как это выглядит на практике.	1	https://irecommend.ru/content/iz-peshki-v-damki
Отличная образовательная платформа	Я приобрела курс «интернет маркетолог с 0» год назад. Процесс обучения и форма подачи максимально понятная и удобная. Считаю плюсом, что обучение можно подстроить под свой ритм. Как выглядит обучение: -Просмотр лекций в удобное время, на любом устройстве. -Практическая часть (ДЗ) по пройденному материалу. Задания на подумать, если невнимательно следил за лекцией, сделать будет сложно. Обычно Дз состоит из нескольких частей, охватывает все пройденные темы. - ДЗ проверяет преподаватель. Есть расписание, по каким дням идёт проверка. Преподаватель пишет ОС. Если задание сделано неправильно или плотностью не раскрыто, отправляет на доработку. Задания можно обсуждать с преподавателем, задавать вопросы или попросить объяснить, если что-то в модуле было непонятно. Так же есть телеграмм канал по курсу, где можно обсудить задания, лекции и поделится ОС. По процессу обучения только положительное впечатление. - на платформе есть много дополнительных, бесплатных лекций, как строить своё обучение, как поддержать мотивацию к обучению и т.д. Платформа живая и всегда появляться что-то новое для студентов. В связи с текущей ситуацией с соц.сетями, выбранное направление мне стало неинтересно, я подала заявку на смену курса. Команда скиллбокс пошла на встречу и мы подобрали подходящий курс. Заявку рассмотрели уже на следующий день и оформили перевод. После завершения курса, рассматриваю далее обучаться по новым направлениям ☺️ Мне платформа нравится🫶🏽	1	https://irecommend.ru/content/otlichnaya-obrazovatelnaya-platforma
геймдизайнер		1	https://irecommend.ru/content/geimdizainer-0
Я научился монтировать и это не предел😊	Ещё со школы я монтировал небольшие видеоролики своим преподавателям на праздники и тут у меня выпал шанс пройти курс «Профессия Режиссёр монтажа» в Skillbox. Самого начала я относился скептически, но когда просмотрел первый урок, то понеслось. Меня обучили базовым приёмам монтажа, теория, история, цвето-коррекции, рабой со звуком и т.д. Также, в этом курсе вы освоите такие про-граммы, как Adobe Premiere Pro, After Effects, DaVinci, Avid и Adobe Audition. Также порадовало и обратная связь с преподавателем на сайте. Всё чётко, быстро и по делу. Существуют и telegram каналы для студентов данного кур-са, где вы можете спросить все несущие вам вопросы и получить ответ, не только от преподавателя, но и от своих студентов. Одна из приятных вещей на это курсе – это формирования творческих групп и создание видео для YouTube на тему обучения. В двух слова. У вас есть возможно связаться с другими людьми из других курсов, для создание сов-местного обучающего проекта. К примеру: Меня монтажёра соединяют с сценаристом. С факультета мультимедиа. Ты любишь монтировать, он – гей-минг. При создании видеороликов были у нас и наставки, которые не раз да-вали профессиональные советы по ходу работы. В целом, курс местами «нудный» (в плане изучения теории), но без теории никуда. И у вас есть возможность пропустить, те или иные виде, но всё это идёт во вред вам. Также вам нужно понимать, что у вас должен быть доволь-на мощная рабочая станция для работы с эффектами и не только. И помните, всё обучение зависит только от вас. Несколько примеров: 1) 2) 3)	1	https://irecommend.ru/content/ya-nauchilsya-montirovat-i-eto-ne-predel
Курсы Python от Skillbox	"На первом уроке курса куратор SKILLBOX сразу же развеял мои страхи относительно сложности программирования. Он сказал: ""Python - это язык для новичков, и вы точно сможете его освоить."" С первых занятий я увлекся тем, как можно создавать программы, автоматизировать задачи и работать над проектами. Python оказался интуитивно понятным языком, который действительно подходит для новичков. Мы начали с основ, изучали синтаксис, работали с переменными, и каждая новая тема была построена на основе предыдущей. Преподаватель старался объяснить сложные вещи простым и понятным языком, что мне очень помогло. Моя забавная история включает в себя момент, когда я случайно написал программу для автоматической генерации поздравлений с днем рождения и случайно отправил их всем контактам в моем адресной книге. Хотя это вызвало смех и удивление, я был рад тому, что могу создавать нечто новое и интересное."	1	https://irecommend.ru/content/kursy-python-ot-skillbox
Отличный способ поменять жизнь в лучшую сторону	Давно хотела поменять профессию, чтобы получать от работы удовольствие. Но думала ,что когда тебе далеко за 30 лет- это невозможно. Платформа Skillbox доказала обратное! Я приобрела курс, прошла обучение, сменила работу и теперь хожу туда с радостью! Есть новые цели и задачи. Планирую продолжать обучение, получать новые знания и навыки и поднимать свой профессиональный уровень. Изначально выбрала курс SMM-специалист, но в процессе обучения поняла, что это немного не то, что хотела. Очень порадовало, что мне с лёгкостью, в режиме одного звонка заменили курс. Уроки можно проходить в любое свободное время, куратор быстро выходит на связь, есть чат для общения, где ещё быстрее можно найти ответы на свои вопросы. Очень порадовала реферальная программа. Достаточно поделится ссылкой - другу скидка, тебе вознаграждение! Я получила 16 тыс руб при покупке подругой курса. Однозначно советую. Чтобы что-то изменить, нужно что-то начать делать! Начни со Skillbox!	1	https://irecommend.ru/content/otlichnyi-sposob-pomenyat-zhizn-v-luchshuyu-storonu
Поэтапное обучение с практикой	Благодаря данному курсу я разобрался в основах фреймворка Django, а также сопутствующих инструментах, деталях и некоторых тонкостях работы в данном фреймворке. Раньше мне казалось, что курс будет для меня сложным, но на деле всё оказалось не так страшно. Порционная подача информации, позволяющая поэтапно выполнить последующее домашнее задание и помощь куратора, делают курс очень легко усваиваемым и понятным. За время прохождения курса я смог научиться много новому и понять всё, а это всегда приятно, чувствовать когда ты развиваешься. Огромное спасибо!!!	1	https://irecommend.ru/content/poetapnoe-obuchenie-s-praktikoi
Взяла и стала фотографом	Я решила стать фотографом, когда это уже перестало быть мейнстримом)) Ну вы помните все эти мемы, что все вокруг фотографы, а простых врачей не хватает)) Но что поделать, если душа лежит именно к этому, а мысль о новой камере будоражит похлеще, чем новая машина)) Опыт в сьемке у меня уже был, был даже опыт проявки фотографий, поэтому я решила, что нужно прокачаться в ретуши и научиться на этом зарабатывать. Я рассматривала несколько курсов - серию мастер-классов от известных фотографов, офлайн-школу в моем городе и онлайн-платформы. В итоге оказалось, что 6 мастер-классов стоят дороже, чем полноценный курс по разным видам фотографии в Skillbox. И я выбрала именно его. Курс построен следующим образом. Сначала ты начинаешь с основ — композиция, настройка камеры, свет и тень и так далее. Затем выбираешь один из семи жанров фотографии - я долго думала между портретной и fashion-фотографией. Но в итоге остановилась на последней. Очень уж хотелось всем говорить, что “фэшн - май профешн”))) Сейчас я именно на этом этапе и я в полном восторге! Тут и история fashion-фотографии, и работа с заказчиками, и журнальная ретушь. Я настолько преисполнилась, что решила написать отзыв, хотя курс еще не закончила. Надеюсь, это не читинг)) Я очень благодарна Skillbox и от души рекомендую его всем, кто это читает))	1	https://irecommend.ru/content/vzyala-i-stala-fotografom
Очень довольна что попала к ним на обучение.	"Привет, всем любителям творчества и дизайна! Xочу рассказать вам о моем удивительном путешествии в мир веб-дизайна. Этот курс изменил мою жизнь и открыл передо мной множество возможностей. История моего обучения началась с момента, когда я решила изменить свою профессиональную жизнь. Я всегда уважала красивый дизайн, и веб-дизайн казался мне мистическим миром. Но курс ""Веб-дизайн"" дал мне инструменты и уверенность, чтобы погрузиться в эту область. Теперь я не стесняюсь выкладывать проекты на Dribbble, ну а Фигма теперь мой лучший друг) даже несколько шаблонов отдала бесплатно - кстати рекомендую всем дизайнерам сразу начать делиться с сообществом своими идеями"	1	https://irecommend.ru/content/ochen-dovolna-chto-popala-k-nim-na-obuchenie
Доволен.	Здравствуйте. Некоторое время назад я решил, что куплю курс у скиллбокс, хотя очень много колебался. Сами понимаете, большие деньги. В конце концов я все таки решился приобрести курс фронтенд разработки. Доволен ли я? Да. Хейтеры скажут, что всё это можно найти басплатно в интернете. Дело в том, что они правы, просто пока вы найдете, отфилтруете и поймете релевантен материал, или нет, актуален ли он,стоит ли его учить - пройдет уйма времени и вы потратите уйму сил. По сути, то, что делает скиллбокс - подбирает для вас самый полезный материал, фильрует от лишнего, удобно, по шагам расставляет и представляет вам. Тем самым экономит вам время. А как мы знаем: время - самый ценный ресурс в современном мире. В скиллбоксе освоить что-то гораздо утобнее и приятнее, чем учиться самому. А счетчик прогресса и понятный, приятный интерфейс так и подталкивает пройти ещё один урок) Подводя итоги: лично я - советую скиллбокс всем своим знакомым и близким. Может кому то не нравится - это их дело. Но я привёл преимущества, оспорить которые, по моему, нельзя. + не смотря на то, что я НЕ гражданин рф - особых сложностей не было. Всем удачи и спасибо вам, Skillbox! ♡	1	https://irecommend.ru/content/dovolen-255
То что надо!	И так вкратце, всю жизнь играю в игры и в один прекрасный момент я понял что играть больше не хочу, а пора их делать.... Смотрел разные курсы выбрал Скилбокс т.к у меня знакомый учился у них же правда по другой специальности. Да многое из этого лежит на Ютубе это факт, однако если вы без опыта вообще или если вы не знаете с чего более правильно начать, то именно это то что нужно, вы получаете чёткую структуру и фид-бэк что в принципе самое важное. Проблем каких то по прохождению обучения не испытываю, хотя понимаю что нибудь основной работы закончил курс бы быстрее. Всё нравиться всем доволен.	1	https://irecommend.ru/content/chto-nado-634
Это лучшее что я видела из онлайн курсов	Хочу поделиться опытом обучения в Skillbox по профессии 3D-дженералист. Мне 33, у меня есть семья, несколько работ и т.п. Курсы для взрослых людей, для тех кто знает, что хочет в жизни. У меня серьезные намерения и поэтому я ценю свободный график. Стараюсь каждый день находить время для занятий, потому что никто опыт вам «не запишет» в голову. Курсы нацелены на практическое применение знаний. Лишней информации (такой как история и математические формулы как устроена Autodesk Maya отсутствуют, но ссылки есть и на такое если кому-то надо). Только практика-практика-практика. Очень нравится мне что весь материал собран и структурирован. Есть и видеозаписи и продублированные методички. Считаю важным, что после каждого занятия есть практическая часть. Это не просто теория, а теория подкрепленная настоящей практикой. А практика – это опыт, который не забудешь. Некоторую информацию приходилось искать самостоятельно, но в этом вижу одни плюсы. Тезисы есть, а для улучшения запоминая и применения на практике надо и самим шевелить извилинами. Очень стимулирует и движет в перед. Спасибо кураторам! Без них (а это практикующие специалисты), точнее без их опытного взгляда не обойтись. Спустя время (опыт появляется и у меня уже) могу сказать, что критика их конструктивна. Работы проверялись в течении 1-2 суток. Были случаи, когда обращалась в Службу поддержки. Отвечают быстро, конкретно и практическими советами как что можно исправить. Во всех случаях проблема была на стороне провайдера, а не со стороны платформы. Все знания, которые я получаю – сразу применяю в жизни. Скажу откровенно, не знаю как у кого, но о меня получается шаг за шагом изменить свою жизнь. А я пришла в Skillbox с этой целью, получить новые знания и новую сферу деятельности.	1	https://irecommend.ru/content/eto-luchshee-chto-ya-videla-iz-onlain-kursov
